benchmark,category,variant,size,time_1
gemm_tn,darknet,clang,EXTRALARGE,4.689901
gemm_tn,darknet,polly,EXTRALARGE,6.125998
gemm_tn,darknet,polly-parallel,EXTRALARGE,1.390782
gemm_tn,darknet,polly-vectorizer,EXTRALARGE,2.311897
gemm_tn,darknet,polly-parallel-vectorizer,EXTRALARGE,1.136386
gemm_tn,darknet,gcc,EXTRALARGE,3.717291
gemm_tt,darknet,clang,EXTRALARGE,37.548374
gemm_tt,darknet,polly,EXTRALARGE,37.583365
gemm_tt,darknet,polly-parallel,EXTRALARGE,37.974074
gemm_tt,darknet,polly-vectorizer,EXTRALARGE,37.635631
gemm_tt,darknet,polly-parallel-vectorizer,EXTRALARGE,37.930635
gemm_tt,darknet,gcc,EXTRALARGE,20.067314
mag_array,darknet,clang,EXTRALARGE,0.094236
mag_array,darknet,polly,EXTRALARGE,0.094808
mag_array,darknet,polly-parallel,EXTRALARGE,0.094331
mag_array,darknet,polly-vectorizer,EXTRALARGE,0.094325
mag_array,darknet,polly-parallel-vectorizer,EXTRALARGE,0.094197
mag_array,darknet,gcc,EXTRALARGE,0.093276
matrix_add_matrix,darknet,clang,EXTRALARGE,0.003078
matrix_add_matrix,darknet,polly,EXTRALARGE,0.004457
matrix_add_matrix,darknet,polly-parallel,EXTRALARGE,0.003461
matrix_add_matrix,darknet,polly-vectorizer,EXTRALARGE,0.005846
matrix_add_matrix,darknet,polly-parallel-vectorizer,EXTRALARGE,0.003462
matrix_add_matrix,darknet,gcc,EXTRALARGE,0.003145
mse_array,darknet,clang,EXTRALARGE,0.094404
mse_array,darknet,polly,EXTRALARGE,0.094348
mse_array,darknet,polly-parallel,EXTRALARGE,0.094574
mse_array,darknet,polly-vectorizer,EXTRALARGE,0.09451
mse_array,darknet,polly-parallel-vectorizer,EXTRALARGE,0.094611
mse_array,darknet,gcc,EXTRALARGE,0.092872
mult_add_into_cpu,darknet,clang,EXTRALARGE,0.128822
mult_add_into_cpu,darknet,polly,EXTRALARGE,0.128303
mult_add_into_cpu,darknet,polly-parallel,EXTRALARGE,0.128978
mult_add_into_cpu,darknet,polly-vectorizer,EXTRALARGE,0.128459
mult_add_into_cpu,darknet,polly-parallel-vectorizer,EXTRALARGE,0.128934
mult_add_into_cpu,darknet,gcc,EXTRALARGE,0.129489
ol_l2_cpu1,darknet,clang,EXTRALARGE,0.121102
ol_l2_cpu1,darknet,polly,EXTRALARGE,0.120915
ol_l2_cpu1,darknet,polly-parallel,EXTRALARGE,0.120972
ol_l2_cpu1,darknet,polly-vectorizer,EXTRALARGE,0.12136
ol_l2_cpu1,darknet,polly-parallel-vectorizer,EXTRALARGE,0.121071
ol_l2_cpu1,darknet,gcc,EXTRALARGE,0.121837
ol_l2_cpu2,darknet,clang,EXTRALARGE,0.120131
ol_l2_cpu2,darknet,polly,EXTRALARGE,0.11976
ol_l2_cpu2,darknet,polly-parallel,EXTRALARGE,0.120213
ol_l2_cpu2,darknet,polly-vectorizer,EXTRALARGE,0.119848
ol_l2_cpu2,darknet,polly-parallel-vectorizer,EXTRALARGE,0.121029
ol_l2_cpu2,darknet,gcc,EXTRALARGE,0.120202
scale_array,darknet,clang,EXTRALARGE,0.059553
scale_array,darknet,polly,EXTRALARGE,0.059287
scale_array,darknet,polly-parallel,EXTRALARGE,0.059197
scale_array,darknet,polly-vectorizer,EXTRALARGE,0.059227
scale_array,darknet,polly-parallel-vectorizer,EXTRALARGE,0.059336
scale_array,darknet,gcc,EXTRALARGE,0.060073
scale_matrix,darknet,clang,EXTRALARGE,0.001898
scale_matrix,darknet,polly,EXTRALARGE,0.001956
scale_matrix,darknet,polly-parallel,EXTRALARGE,0.002009
scale_matrix,darknet,polly-vectorizer,EXTRALARGE,0.001887
scale_matrix,darknet,polly-parallel-vectorizer,EXTRALARGE,0.002004
scale_matrix,darknet,gcc,EXTRALARGE,0.001949
sum_array,darknet,clang,EXTRALARGE,0.092168
sum_array,darknet,polly,EXTRALARGE,0.092459
sum_array,darknet,polly-parallel,EXTRALARGE,0.092027
sum_array,darknet,polly-vectorizer,EXTRALARGE,0.091705
sum_array,darknet,polly-parallel-vectorizer,EXTRALARGE,0.092079
sum_array,darknet,gcc,EXTRALARGE,0.092595
translate_array,darknet,clang,EXTRALARGE,0.059213
translate_array,darknet,polly,EXTRALARGE,0.059168
translate_array,darknet,polly-parallel,EXTRALARGE,0.059227
translate_array,darknet,polly-vectorizer,EXTRALARGE,0.059336
translate_array,darknet,polly-parallel-vectorizer,EXTRALARGE,0.059226
translate_array,darknet,gcc,EXTRALARGE,0.06021
mat1x3,dspstone,clang,EXTRALARGE,0.00112
mat1x3,dspstone,polly,EXTRALARGE,0.000733
mat1x3,dspstone,polly-parallel,EXTRALARGE,0.000499
mat1x3,dspstone,polly-vectorizer,EXTRALARGE,0.00038
mat1x3,dspstone,polly-parallel-vectorizer,EXTRALARGE,0.000423
mat1x3,dspstone,gcc,EXTRALARGE,0.001162
matrix1,dspstone,clang,EXTRALARGE,1.024919
matrix1,dspstone,polly,EXTRALARGE,0.60382
matrix1,dspstone,polly-parallel,EXTRALARGE,0.086533
matrix1,dspstone,polly-vectorizer,EXTRALARGE,0.263383
matrix1,dspstone,polly-parallel-vectorizer,EXTRALARGE,0.043693
matrix1,dspstone,gcc,EXTRALARGE,1.020966
matrix2,dspstone,clang,EXTRALARGE,0.851837
matrix2,dspstone,polly,EXTRALARGE,0.49619
matrix2,dspstone,polly-parallel,EXTRALARGE,0.07286
matrix2,dspstone,polly-vectorizer,EXTRALARGE,0.195296
matrix2,dspstone,polly-parallel-vectorizer,EXTRALARGE,0.036867
matrix2,dspstone,gcc,EXTRALARGE,0.838562
n_real_updates,dspstone,clang,EXTRALARGE,0.155365
n_real_updates,dspstone,polly,EXTRALARGE,0.155031
n_real_updates,dspstone,polly-parallel,EXTRALARGE,0.154915
n_real_updates,dspstone,polly-vectorizer,EXTRALARGE,0.154862
n_real_updates,dspstone,polly-parallel-vectorizer,EXTRALARGE,0.154292
n_real_updates,dspstone,gcc,EXTRALARGE,0.160202
pin_down,darknet,clang,EXTRALARGE,0.05673
pin_down,darknet,polly,EXTRALARGE,0.056374
pin_down,darknet,polly-parallel,EXTRALARGE,0.056445
pin_down,darknet,polly-vectorizer,EXTRALARGE,0.05658
pin_down,darknet,polly-parallel-vectorizer,EXTRALARGE,0.056539
pin_down,darknet,gcc,EXTRALARGE,0.056457
sum_of_squares,makespeare,clang,EXTRALARGE,0.094137
sum_of_squares,makespeare,polly,EXTRALARGE,0.094286
sum_of_squares,makespeare,polly-parallel,EXTRALARGE,0.094364
sum_of_squares,makespeare,polly-vectorizer,EXTRALARGE,0.094354
sum_of_squares,makespeare,polly-parallel-vectorizer,EXTRALARGE,0.094388
sum_of_squares,makespeare,gcc,EXTRALARGE,0.093155
diveq_sca,mathfu,clang,EXTRALARGE,0.06309
diveq_sca,mathfu,polly,EXTRALARGE,0.061907
diveq_sca,mathfu,polly-parallel,EXTRALARGE,0.062013
diveq_sca,mathfu,polly-vectorizer,EXTRALARGE,0.062579
diveq_sca,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.061936
diveq_sca,mathfu,gcc,EXTRALARGE,0.062981
diveq,mathfu,clang,EXTRALARGE,0.092767
diveq,mathfu,polly,EXTRALARGE,0.092403
diveq,mathfu,polly-parallel,EXTRALARGE,0.092681
diveq,mathfu,polly-vectorizer,EXTRALARGE,0.092338
diveq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.09262
diveq,mathfu,gcc,EXTRALARGE,0.092859
len_sq,mathfu,clang,EXTRALARGE,0.094576
len_sq,mathfu,polly,EXTRALARGE,0.094511
len_sq,mathfu,polly-parallel,EXTRALARGE,0.094738
len_sq,mathfu,polly-vectorizer,EXTRALARGE,0.094384
len_sq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.094383
len_sq,mathfu,gcc,EXTRALARGE,0.093093
len,mathfu,clang,EXTRALARGE,0.09426
len,mathfu,polly,EXTRALARGE,0.094569
len,mathfu,polly-parallel,EXTRALARGE,0.094351
len,mathfu,polly-vectorizer,EXTRALARGE,0.094451
len,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.094553
len,mathfu,gcc,EXTRALARGE,0.093513
lerp,mathfu,clang,EXTRALARGE,0.001016
lerp,mathfu,polly,EXTRALARGE,0.000916
lerp,mathfu,polly-parallel,EXTRALARGE,0.000948
lerp,mathfu,polly-vectorizer,EXTRALARGE,0.000953
lerp,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.00095
lerp,mathfu,gcc,EXTRALARGE,0.000909
matmul_sca,mathfu,clang,EXTRALARGE,0.004214
matmul_sca,mathfu,polly,EXTRALARGE,0.006033
matmul_sca,mathfu,polly-parallel,EXTRALARGE,0.004926
matmul_sca,mathfu,polly-vectorizer,EXTRALARGE,0.007243
matmul_sca,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.004905
matmul_sca,mathfu,gcc,EXTRALARGE,0.004292
muleq,mathfu,clang,EXTRALARGE,0.091511
muleq,mathfu,polly,EXTRALARGE,0.091775
muleq,mathfu,polly-parallel,EXTRALARGE,0.091524
muleq,mathfu,polly-vectorizer,EXTRALARGE,0.091481
muleq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.091676
muleq,mathfu,gcc,EXTRALARGE,0.092477
muleq_sca,mathfu,clang,EXTRALARGE,0.059924
muleq_sca,mathfu,polly,EXTRALARGE,0.059339
muleq_sca,mathfu,polly-parallel,EXTRALARGE,0.059262
muleq_sca,mathfu,polly-vectorizer,EXTRALARGE,0.059493
muleq_sca,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.059189
muleq_sca,mathfu,gcc,EXTRALARGE,0.060038
negate,mathfu,clang,EXTRALARGE,0.059222
negate,mathfu,polly,EXTRALARGE,0.059217
negate,mathfu,polly-parallel,EXTRALARGE,0.059225
negate,mathfu,polly-vectorizer,EXTRALARGE,0.059199
negate,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.05942
negate,mathfu,gcc,EXTRALARGE,0.060022
pluseq,mathfu,clang,EXTRALARGE,0.091677
pluseq,mathfu,polly,EXTRALARGE,0.09136
pluseq,mathfu,polly-parallel,EXTRALARGE,0.091694
pluseq,mathfu,polly-vectorizer,EXTRALARGE,0.09132
pluseq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.091313
pluseq,mathfu,gcc,EXTRALARGE,0.091889
subeq,mathfu,clang,EXTRALARGE,0.091524
subeq,mathfu,polly,EXTRALARGE,0.091792
subeq,mathfu,polly-parallel,EXTRALARGE,0.091351
subeq,mathfu,polly-vectorizer,EXTRALARGE,0.09169
subeq,mathfu,polly-parallel-vectorizer,EXTRALARGE,0.091416
subeq,mathfu,gcc,EXTRALARGE,0.09181
array_inc,simpl_array,clang,EXTRALARGE,0.059264
array_inc,simpl_array,polly,EXTRALARGE,0.059761
array_inc,simpl_array,polly-parallel,EXTRALARGE,0.060167
array_inc,simpl_array,polly-vectorizer,EXTRALARGE,0.059725
array_inc,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.059383
array_inc,simpl_array,gcc,EXTRALARGE,0.060894
array_sum,simpl_array,clang,EXTRALARGE,0.092543
array_sum,simpl_array,polly,EXTRALARGE,0.092249
array_sum,simpl_array,polly-parallel,EXTRALARGE,0.092248
array_sum,simpl_array,polly-vectorizer,EXTRALARGE,0.092194
array_sum,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.092195
array_sum,simpl_array,gcc,EXTRALARGE,0.092528
cube_in_place,simpl_array,clang,EXTRALARGE,0.063355
cube_in_place,simpl_array,polly,EXTRALARGE,0.062952
cube_in_place,simpl_array,polly-parallel,EXTRALARGE,0.062987
cube_in_place,simpl_array,polly-vectorizer,EXTRALARGE,0.063002
cube_in_place,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.062755
cube_in_place,simpl_array,gcc,EXTRALARGE,0.064274
fourth_in_place,simpl_array,clang,EXTRALARGE,0.062635
fourth_in_place,simpl_array,polly,EXTRALARGE,0.063067
fourth_in_place,simpl_array,polly-parallel,EXTRALARGE,0.062658
fourth_in_place,simpl_array,polly-vectorizer,EXTRALARGE,0.062589
fourth_in_place,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.062603
fourth_in_place,simpl_array,gcc,EXTRALARGE,0.063851
sum_elts,simpl_array,clang,EXTRALARGE,0.094133
sum_elts,simpl_array,polly,EXTRALARGE,0.094208
sum_elts,simpl_array,polly-parallel,EXTRALARGE,0.094597
sum_elts,simpl_array,polly-vectorizer,EXTRALARGE,0.094169
sum_elts,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.094209
sum_elts,simpl_array,gcc,EXTRALARGE,0.093028
dct,utdsp,clang,EXTRALARGE,2.623547
dct,utdsp,polly,EXTRALARGE,0.248049
dct,utdsp,polly-parallel,EXTRALARGE,0.257632
dct,utdsp,polly-vectorizer,EXTRALARGE,0.260641
dct,utdsp,polly-parallel-vectorizer,EXTRALARGE,0.261028
dct,utdsp,gcc,EXTRALARGE,1.598964
fir_small,utdsp,clang,EXTRALARGE,0.103362
fir_small,utdsp,polly,EXTRALARGE,0.104006
fir_small,utdsp,polly-parallel,EXTRALARGE,0.102884
fir_small,utdsp,polly-vectorizer,EXTRALARGE,0.103231
fir_small,utdsp,polly-parallel-vectorizer,EXTRALARGE,0.103384
fir_small,utdsp,gcc,EXTRALARGE,0.102427
histogram,utdsp,clang,EXTRALARGE,0.025863
histogram,utdsp,polly,EXTRALARGE,0.025879
histogram,utdsp,polly-parallel,EXTRALARGE,0.026095
histogram,utdsp,polly-vectorizer,EXTRALARGE,0.025887
histogram,utdsp,polly-parallel-vectorizer,EXTRALARGE,0.025866
histogram,utdsp,gcc,EXTRALARGE,0.025819
lmsfir1,utdsp,clang,EXTRALARGE,0.102932
lmsfir1,utdsp,polly,EXTRALARGE,0.103122
lmsfir1,utdsp,polly-parallel,EXTRALARGE,0.103123
lmsfir1,utdsp,polly-vectorizer,EXTRALARGE,0.103219
