benchmark,category,variant,size,time_1
correlation,polybench/datamining,jax_gpu_onlykernel,EXTRALARGE,5.82949724048376e-05
correlation,polybench/datamining,numba,EXTRALARGE,9.3045006019529
correlation,polybench/datamining,numba_parallel,EXTRALARGE,0.8473512069904245
correlation,polybench/datamining,numpy,EXTRALARGE,0.0605036730412394
correlation,polybench/datamining,polly,EXTRALARGE,3.0096695
correlation,polybench/datamining,polly-parallel,EXTRALARGE,0.353229
correlation,polybench/datamining,polly-parallel-vectorizer,EXTRALARGE,0.169634
correlation,polybench/datamining,polly-vectorizer,EXTRALARGE,1.6213585
correlation,polybench/datamining,torch,EXTRALARGE,0.100808488554321
correlation,polybench/datamining,torch_compiled,EXTRALARGE,0.0776304254541174
correlation,polybench/datamining,torch_gpu_onlykernel,EXTRALARGE,0.00120414583943784
covariance,polybench/datamining,clang,EXTRALARGE,24.7102665
covariance,polybench/datamining,gcc,EXTRALARGE,24.9120055
covariance,polybench/datamining,jax,EXTRALARGE,0.0783303994685411
covariance,polybench/datamining,jax_gpu,EXTRALARGE,0.00308111344929785
covariance,polybench/datamining,jax_gpu_onlykernel,EXTRALARGE,5.94038283452392e-05
covariance,polybench/datamining,numba,EXTRALARGE,21.5289729816141
covariance,polybench/datamining,numpy,EXTRALARGE,0.0493661436485127
covariance,polybench/datamining,polly,EXTRALARGE,2.967253
covariance,polybench/datamining,polly-parallel,EXTRALARGE,0.3306615
covariance,polybench/datamining,polly-parallel-vectorizer,EXTRALARGE,0.13063
covariance,polybench/datamining,polly-vectorizer,EXTRALARGE,1.3876315
covariance,polybench/datamining,torch,EXTRALARGE,0.0908358194865286
covariance,polybench/datamining,torch_compiled,EXTRALARGE,0.0733709044288844
covariance,polybench/datamining,torch_gpu_onlykernel,EXTRALARGE,8.40494176372886e-05
cube_in_place,simpl_array,clang,EXTRALARGE,0.0271
cube_in_place,simpl_array,gcc,EXTRALARGE,0.0272125
cube_in_place,simpl_array,jax,EXTRALARGE,0.119359819917008
cube_in_place,simpl_array,jax_gpu,EXTRALARGE,0.0382905739825219
cube_in_place,simpl_array,jax_gpu_onlykernel,EXTRALARGE,3.32144554704428e-05
cube_in_place,simpl_array,numba,EXTRALARGE,0.0293226034846157
cube_in_place,simpl_array,numpy,EXTRALARGE,0.833958582486957
cube_in_place,simpl_array,polly,EXTRALARGE,0.0271755
cube_in_place,simpl_array,polly-parallel,EXTRALARGE,0.027169
cube_in_place,simpl_array,polly-parallel-vectorizer,EXTRALARGE,0.027148
cube_in_place,simpl_array,polly-vectorizer,EXTRALARGE,0.0272305
cube_in_place,simpl_array,torch,EXTRALARGE,0.121808947995305
cube_in_place,simpl_array,torch_compiled,EXTRALARGE,0.0233982590725645
cube_in_place,simpl_array,torch_gpu_onlykernel,EXTRALARGE,4.45646001026034e-05
darken_blend8,blend,clang,EXTRALARGE,0.1320615
darken_blend8,blend,gcc,EXTRALARGE,0.1316025
darken_blend8,blend,jax,EXTRALARGE,0.0822941240621731
darken_blend8,blend,jax_gpu,EXTRALARGE,0.0257196645252407
darken_blend8,blend,jax_gpu_onlykernel,EXTRALARGE,3.03849810734391e-05
darken_blend8,blend,numba,EXTRALARGE,0.182325489004143
darken_blend8,blend,numpy,EXTRALARGE,0.160750405979343
darken_blend8,blend,polly,EXTRALARGE,0.1531095
darken_blend8,blend,polly-parallel,EXTRALARGE,0.029017
darken_blend8,blend,polly-parallel-vectorizer,EXTRALARGE,0.029512
darken_blend8,blend,polly-vectorizer,EXTRALARGE,0.165757
darken_blend8,blend,torch,EXTRALARGE,0.0761319685261697
darken_blend8,blend,torch_compiled,EXTRALARGE,0.0584412574535236
